schedule_day,slot,article_number,slug,title,phase,series_name,category,planned_action,planned_status,notes,actual_status,actual_published_at,blog_url,hero_image_url,content_status,hero_status,hero_upload_status,publish_status,execution_status,execution_blocker
Day 1,1,1,seo-basics-for-website-owners,SEO Basics For Website Owners,Phase 1 Authority Foundation,Website Visibility Foundations,webmaster-guides,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-24T09:00:00.000000Z,https://blog.freeindexer.com/seo-basics-for-website-owners,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/seo-basics-for-website-owners-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 1,2,2,how-search-visibility-works,How Search Visibility Works,Phase 1 Authority Foundation,Website Visibility Foundations,indexing-education,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-24T12:00:00.000000Z,https://blog.freeindexer.com/how-search-visibility-works,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/how-search-visibility-works-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 1,3,3,indexing-vs-ranking-vs-visibility,Indexing vs Ranking vs Visibility,Phase 1 Authority Foundation,Website Visibility Foundations,indexing-education,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-25T06:00:00.000000Z,https://blog.freeindexer.com/indexing-vs-ranking-vs-visibility,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/indexing-vs-ranking-vs-visibility-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 2,1,4,sitemap-and-robots-basics,Sitemap And Robots Basics,Phase 1 Authority Foundation,Website Visibility Foundations,technical-seo,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-25T09:00:00.000000Z,https://blog.freeindexer.com/sitemap-and-robots-basics,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/sitemap-and-robots-basics-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 2,2,5,google-search-console-basics,Google Search Console Basics,Phase 1 Authority Foundation,Website Visibility Foundations,google-search-console,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-25T12:00:00.000000Z,https://blog.freeindexer.com/google-search-console-basics,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/google-search-console-basics-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 2,3,6,internal-linking-basics-for-website-owners,Internal Linking Basics For Website Owners,Phase 1 Authority Foundation,Website Visibility Foundations,webmaster-guides,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-26T06:00:00.000000Z,https://blog.freeindexer.com/internal-linking-basics-for-website-owners,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/internal-linking-basics-for-website-owners-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 3,1,7,website-visibility-checklist,Website Visibility Checklist,Phase 1 Authority Foundation,Website Visibility Foundations,webmaster-guides,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-26T09:00:00.000000Z,https://blog.freeindexer.com/website-visibility-checklist,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/website-visibility-checklist-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 3,2,8,technical-seo-for-operators,Technical SEO For Operators,Phase 1 Authority Foundation,Technical SEO For Operators,technical-seo,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-26T12:00:00.000000Z,https://blog.freeindexer.com/technical-seo-for-operators,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/technical-seo-for-operators-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 3,3,9,crawlability-audit-workflow,Crawlability Audit Workflow,Phase 1 Authority Foundation,Technical SEO For Operators,technical-seo,publish-or-schedule-after-approval,scheduled,Hero uploaded; scheduled confirmed by API.,scheduled,2026-05-27T06:00:00.000000Z,https://blog.freeindexer.com/crawlability-audit-workflow,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/crawlability-audit-workflow-hero.png,created,hero_generated,hero_uploaded,scheduled,scheduled,
Day 4,1,10,indexability-audit-for-large-url-sets,Indexability Audit For Large URL Sets,Phase 1 Authority Foundation,Technical SEO For Operators,technical-seo,publish-or-schedule-after-approval,published,Hero uploaded; published confirmed by API.,published,2026-05-18T13:35:19.000000Z,https://blog.freeindexer.com/indexability-audit-for-large-url-sets,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/indexability-audit-for-large-url-sets-hero.png,created,hero_generated,hero_uploaded,published,published,
