slug,article_path,hero_image_path,uploaded_image_url,draft_status,blog_post_id,published_url,live_date,last_checked_live,notes
indexing-education-hub,content/pillars/indexing-education-hub.md,images/exports/indexing-education-hub-hero.png,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/indexing-education-hub-hero.png,published,6457,https://blog.freeindexer.com/indexing-education-hub,,,Draft synced through signed 99sync API.
why-google-is-not-indexing-my-url,content/troubleshooting/why-google-is-not-indexing-my-url.md,images/exports/why-google-is-not-indexing-my-url-hero.png,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/why-google-is-not-indexing-my-url-hero.png,published,6458,https://blog.freeindexer.com/why-google-is-not-indexing-my-url,,,Draft synced through signed 99sync API.
free-url-indexer,content/commercial/free-url-indexer.md,images/exports/free-url-indexer-hero.png,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/free-url-indexer-hero.png,published,6456,https://blog.freeindexer.com/free-url-indexer,,,Draft synced through signed 99sync API.
url-indexing-for-seo-agencies,content/use-cases/url-indexing-for-seo-agencies.md,images/exports/url-indexing-for-seo-agencies-hero.png,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/url-indexing-for-seo-agencies-hero.png,scheduled,7253,https://blog.freeindexer.com/url-indexing-for-seo-agencies,2026-07-22T09:00:00Z,,Draft synced through signed 99sync API.
programmatic-seo-indexing-workflow,content/use-cases/programmatic-seo-indexing-workflow.md,images/exports/programmatic-seo-indexing-workflow-hero.png,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/programmatic-seo-indexing-workflow-hero.png,scheduled,7254,https://blog.freeindexer.com/programmatic-seo-indexing-workflow,2026-07-23T09:00:00Z,,Draft synced through signed 99sync API.
indexing-workflow-for-affiliate-sites,content/use-cases/indexing-workflow-for-affiliate-sites.md,images/exports/indexing-workflow-for-affiliate-sites-hero.png,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/indexing-workflow-for-affiliate-sites-hero.png,scheduled,7255,https://blog.freeindexer.com/indexing-workflow-for-affiliate-sites,2026-07-24T09:00:00Z,,Draft synced through signed 99sync API.
indexing-for-saas-product-pages,content/use-cases/indexing-for-saas-product-pages.md,images/exports/indexing-for-saas-product-pages-hero.png,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/indexing-for-saas-product-pages-hero.png,scheduled,7256,https://blog.freeindexer.com/indexing-for-saas-product-pages,2026-07-25T09:00:00Z,,Draft synced through signed 99sync API.
best-google-indexing-tools,content/comparisons/best-google-indexing-tools.md,images/exports/best-google-indexing-tools-hero.png,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/best-google-indexing-tools-hero.png,scheduled,7257,https://blog.freeindexer.com/best-google-indexing-tools,2026-07-26T09:00:00Z,,Draft synced through signed 99sync API.
freeindexer-vs-indexing-api,content/comparisons/freeindexer-vs-indexing-api.md,images/exports/freeindexer-vs-indexing-api-hero.png,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/freeindexer-vs-indexing-api-hero.png,scheduled,7258,https://blog.freeindexer.com/freeindexer-vs-indexing-api,2026-07-27T09:00:00Z,,Draft synced through signed 99sync API.
faster-google-indexing-for-website-owners,content/use-cases/faster-google-indexing-for-website-owners.md,images/exports/faster-google-indexing-for-website-owners-hero.png,https://cen-public-st.nbg1.your-objectstorage.com/freeindexer/blog/faster-google-indexing-for-website-owners-hero.png,scheduled,7259,https://blog.freeindexer.com/faster-google-indexing-for-website-owners,2026-07-28T09:00:00Z,,Draft synced through signed 99sync API.
