slug,title,category,series,series_order,series_role,series_hub,previous_article,next_article,icp,funnel_stage,intent,status,quality_score,priority
ai-search-visibility-for-seo-operators,AI Search Visibility For SEO Operators,ai-search-visibility,AI Search / GEO Visibility,1,hub,ai-search-visibility-for-seo-operators,,geo-readiness-checklist-for-website-owners,SEO Operator,top,informational,ready-for-publish,9.3,P1
content-structure-for-ai-search-discovery,Content Structure For AI Search Discovery,ai-search-visibility,AI Search / GEO Visibility,3,cluster,ai-search-visibility-for-seo-operators,geo-readiness-checklist-for-website-owners,entity-clarity-for-seo-and-ai-search,SaaS Or Product Team,top,informational,ready-for-publish,9.3,P1
entity-clarity-for-seo-and-ai-search,Entity Clarity For SEO And AI Search,ai-search-visibility,AI Search / GEO Visibility,4,cluster,ai-search-visibility-for-seo-operators,content-structure-for-ai-search-discovery,technical-seo-foundations-for-ai-search,SEO Operator,top,informational,ready-for-publish,9.3,P1
geo-readiness-checklist-for-website-owners,GEO Readiness Checklist For Website Owners,ai-search-visibility,AI Search / GEO Visibility,2,cluster,ai-search-visibility-for-seo-operators,ai-search-visibility-for-seo-operators,content-structure-for-ai-search-discovery,Website Owner,top,informational,ready-for-publish,9.3,P1
agency-indexing-sla-reporting,Agency Indexing SLA Reporting Without Overpromising,analytics-reporting,,,,,,,SEO Agency,middle,informational-commercial,ready-for-publish,9.4,P1
analytics-and-reporting-for-seo-growth,Analytics And Reporting For SEO Growth,analytics-reporting,Analytics And Tracking For SEO Growth,1,hub,analytics-and-reporting-for-seo-growth,,ga4-basics-for-seo-reporting,Growth Operator,top,informational,ready-for-publish,9.4,P2
ga4-basics-for-seo-reporting,GA4 Basics For SEO Reporting,analytics-reporting,Analytics And Tracking For SEO Growth,2,cluster,analytics-and-reporting-for-seo-growth,analytics-and-reporting-for-seo-growth,search-console-and-ga4-seo-workflow,Webmaster,top,informational,ready-for-publish,9.3,P2
indexation-rate-calculation,How To Calculate Indexation Rate Without Misleading Reports,analytics-reporting,,,,,,,SEO Agency,middle,informational,ready-for-publish,9.4,P2
indexing-evidence-log-template,Indexing Evidence Log Template For SEO Teams,analytics-reporting,,,,,,,SEO Agency,middle,informational-commercial,ready-for-publish,9.4,P2
indexing-vs-traffic-reporting,Indexing vs Traffic Reporting,analytics-reporting,Analytics And Tracking For SEO Growth,5,cluster,analytics-and-reporting-for-seo-growth,track-organic-landing-pages,monthly-seo-reporting-dashboard,SEO Agency,middle,informational,ready-for-publish,9.3,P2
monthly-seo-reporting-dashboard,Monthly SEO Reporting Dashboard,analytics-reporting,Analytics And Tracking For SEO Growth,6,cluster,analytics-and-reporting-for-seo-growth,indexing-vs-traffic-reporting,client-seo-reporting-template,SEO Agency,middle,informational-commercial,ready-for-publish,9.3,P2
search-console-and-ga4-seo-workflow,Search Console And GA4 SEO Workflow,analytics-reporting,Analytics And Tracking For SEO Growth,3,cluster,analytics-and-reporting-for-seo-growth,ga4-basics-for-seo-reporting,track-organic-landing-pages,SEO Operator,middle,informational-commercial,ready-for-publish,9.4,P2
track-organic-landing-pages,Track Organic Landing Pages,analytics-reporting,Analytics And Tracking For SEO Growth,4,cluster,analytics-and-reporting-for-seo-growth,search-console-and-ga4-seo-workflow,indexing-vs-traffic-reporting,SaaS Or Product Team,middle,informational-commercial,ready-for-publish,9.3,P2
affiliate-backlink-tracking-workflow,Affiliate Backlink Tracking Workflow,backlinks,Backlinks And Discovery,8,cluster,backlink-discovery-and-indexing-guide,backlink-reporting-template-for-agencies,,Affiliate Marketer,middle,informational-commercial,ready-for-publish,9.3,P2
backlink-discovery-and-indexing-guide,Backlink Discovery And Indexing Guide,backlinks,Backlinks And Discovery,1,hub,backlink-discovery-and-indexing-guide,,backlink-quality-before-indexing,Affiliate Marketer,middle,informational-commercial,ready-for-publish,9.3,P2
backlink-discovery-workflow-after-link-building,Backlink Discovery Workflow After Link Building,backlinks,Backlinks And Discovery,3,cluster,backlink-discovery-and-indexing-guide,backlink-quality-before-indexing,link-building-provider-checklist,SEO Agency,middle,informational-commercial,ready-for-publish,9.5,P2
backlink-indexing-checker-workflow,Backlink Indexing Checker Workflow: What To Verify,backlinks,,,,,,,SEO Agency,middle,informational-commercial,ready-for-publish,9.4,P2
backlink-indexing-checklist,Backlink Indexing Checklist,backlinks,,,,,,,Affiliate Marketer,middle,informational-commercial,ready-for-publish,,P2
backlink-indexing-for-client-reporting,Backlink Indexing For Client Reporting,backlinks,,,,,,,SEO Agency,middle,informational-commercial,ready-for-publish,,P2
backlink-indexing-priority-list,Backlink Indexing Priority List: What To Submit First,backlinks,,,,,,,SEO Agency,middle,informational-commercial,ready-for-publish,9.4,P2
backlink-quality-before-indexing,Backlink Quality Before Indexing,backlinks,Backlinks And Discovery,2,cluster,backlink-discovery-and-indexing-guide,backlink-discovery-and-indexing-guide,backlink-discovery-workflow-after-link-building,Affiliate Marketer,middle,informational-commercial,ready-for-publish,9.3,P2
backlink-reporting-template-for-agencies,Backlink Reporting Template For Agencies,backlinks,Backlinks And Discovery,7,cluster,backlink-discovery-and-indexing-guide,track-backlink-discovery-for-seo-campaigns,affiliate-backlink-tracking-workflow,SEO Agency,middle,informational-commercial,ready-for-publish,9.3,P2
backlinks-not-showing-in-search-console,Why Backlinks Are Not Showing In Search Console,backlinks,,,,,,,SEO Agency,middle,troubleshooting,ready-for-publish,9.4,P2
best-backlink-indexer,Best Backlink Indexer: How To Choose A Workflow,backlinks,,,,,,,Tool/API Evaluator,bottom,commercial investigation,ready-for-publish,,P2
broken-backlink-recovery-and-indexing,Broken Backlink Recovery And Indexing Workflow,backlinks,,,,,,,SEO Operator,middle,informational-commercial,ready-for-publish,9.4,P2
digital-pr-backlink-discovery-workflow,Digital PR Backlink Discovery Workflow,backlinks,,,,,,,SEO Agency,middle,informational,ready-for-publish,9.4,P2
earned-media-link-indexing-checklist,Earned Media Link Indexing Checklist,backlinks,,,,,,,PR Team,middle,informational-commercial,ready-for-publish,9.4,P2
guest-post-backlink-indexing-workflow,Guest Post Backlink Indexing Workflow,backlinks,,,,,,,Link Builder,middle,informational-commercial,ready-for-publish,9.4,P2
how-long-backlinks-take-to-be-discovered,How Long Do Backlinks Take To Be Discovered?,backlinks,,,,,,,Affiliate Marketer,middle,informational,ready-for-publish,9.4,P2
how-to-get-backlinks-discovered,How To Get Backlinks Discovered,backlinks,,,,,,,SEO Operator,middle,informational-commercial,ready-for-publish,,P2
link-building-campaign-indexing-qa,Link Building Campaign Indexing QA,backlinks,,,,,,,SEO Agency,middle,informational-commercial,ready-for-publish,9.4,P2
link-building-provider-checklist,Link-Building Provider Checklist,backlinks,Backlinks And Discovery,4,cluster,backlink-discovery-and-indexing-guide,backlink-discovery-workflow-after-link-building,manage-backlink-vendors-indexing-visibility,SEO Agency,middle,informational-commercial,ready-for-publish,9.4,P2
local-citation-indexing-workflow,Local Citation Indexing Workflow,backlinks,,,,,,,Local SEO Operator,middle,informational-commercial,ready-for-publish,9.4,P2
