article_number,phase,series_name,title,slug,category,tags,primary_icp,secondary_icp,funnel_stage,search_intent,primary_keyword,secondary_keywords,target_cta,internal_links,image_concept,hero_template,freeindexer_mention,seoestore_mention,content_role,priority_level,planned_status,execution_blocker
1,Phase 1 Authority Foundation,Website Visibility Foundations,SEO Basics For Website Owners,seo-basics-for-website-owners,webmaster-guides,seo|website-owners|guide|search-visibility,Website Owner,Webmaster,top,informational,seo basics for website owners,website SEO basics|search visibility basics|website owner SEO,Build a simple visibility checklist,indexing-education-hub|content-visibility-checklist|website-owner-seo-maintenance-checklist,Beginner website visibility board with crawl links sitemap and priority URL cards,1,limited,none,hub,P1,scheduled,
2,Phase 1 Authority Foundation,Website Visibility Foundations,How Search Visibility Works,how-search-visibility-works,indexing-education,search-visibility|content-discovery|seo|website-owners,Website Owner,Webmaster,top,informational,how search visibility works,search visibility basics|how websites appear in search|content discovery,Understand the visibility system,indexing-education-hub|how-search-engines-crawl-and-index-pages|content-visibility-checklist,Search visibility path from published page to crawl discovery indexing and traffic,2,limited,none,cluster,P1,scheduled,
3,Phase 1 Authority Foundation,Website Visibility Foundations,Indexing vs Ranking vs Visibility,indexing-vs-ranking-vs-visibility,indexing-education,indexing|search-visibility|google-indexing|website-owners,Website Owner,SEO Operator,top,informational,indexing vs ranking vs visibility,indexing vs ranking|search visibility meaning|indexed but not ranking,Separate indexing ranking and visibility,url-indexing-vs-ranking|indexing-education-hub|why-google-is-not-indexing-my-url,Three-column concept showing indexed ranked and visible states without search engine logos,3,limited,none,cluster,P1,scheduled,
4,Phase 1 Authority Foundation,Website Visibility Foundations,Sitemap And Robots Basics,sitemap-and-robots-basics,technical-seo,sitemap|robots-txt|technical-seo|webmasters,Webmaster,Website Owner,top,informational,sitemap and robots basics,robots txt basics|xml sitemap basics|crawlability basics,Fix discovery basics before submission,robots-txt-and-indexing|sitemap-indexing-checklist|google-search-console-indexing-guide,Technical basics panel with sitemap file robots rules and allowed URL paths,1,limited,none,cluster,P1,scheduled,
5,Phase 1 Authority Foundation,Website Visibility Foundations,Google Search Console Basics,google-search-console-basics,google-search-console,google-search-console|webmasters|website-owners|guide,Website Owner,Webmaster,top,informational,Google Search Console basics,Search Console setup basics|GSC for website owners|Google indexing basics,Set up basic GSC checks,google-search-console-indexing-guide|how-to-use-url-inspection-tool|submit-sitemap-in-google-search-console,Abstract Search Console diagnostics board with pages sitemap and inspection cards,2,limited,none,cluster,P1,scheduled,
6,Phase 1 Authority Foundation,Website Visibility Foundations,Internal Linking Basics For Website Owners,internal-linking-basics-for-website-owners,webmaster-guides,internal-linking|website-owners|search-visibility|seo,Website Owner,Webmaster,top,informational,internal linking basics for website owners,internal links SEO|website internal linking|discoverable pages,Improve discovery paths,internal-linking-for-indexing|content-visibility-checklist|indexing-education-hub,Website page map with homepage hubs internal paths and priority page cards,3,limited,none,cluster,P2,scheduled,
7,Phase 1 Authority Foundation,Website Visibility Foundations,Website Visibility Checklist,website-visibility-checklist,webmaster-guides,checklist|search-visibility|website-owners|webmaster-workflow,Website Owner,Webmaster,top,informational,website visibility checklist,SEO visibility checklist|website discovery checklist|search visibility checklist,Run a monthly visibility checklist,content-visibility-checklist|indexing-checklist-for-new-websites|weekly-webmaster-seo-workflow,Checklist dashboard for small website visibility with sitemap links content and URL priorities,1,limited,none,cluster,P2,scheduled,
8,Phase 1 Authority Foundation,Technical SEO For Operators,Technical SEO For Operators,technical-seo-for-operators,technical-seo,technical-seo|seo-operators|crawlability|checklist,SEO Operator,SEO Agency,middle,informational,technical SEO for operators,technical SEO workflow|SEO operator checklist|indexability workflow,Build a technical SEO operating queue,technical-seo-indexing-audit|crawlability-checklist|indexability-audit-for-large-url-sets,Technical SEO command board with crawlability indexability canonical and sitemap lanes,2,yes,none,hub,P1,scheduled,
9,Phase 1 Authority Foundation,Technical SEO For Operators,Crawlability Audit Workflow,crawlability-audit-workflow,technical-seo,crawlability|technical-seo|seo-operators|checklist,SEO Operator,Webmaster,middle,informational,crawlability audit workflow,crawlability audit|crawl blockers checklist|technical SEO crawl audit,Find crawl blockers before submission,crawlability-checklist|technical-seo-indexing-audit|robots-txt-and-indexing,Crawl path audit board with allowed blocked redirected and priority URL lanes,3,yes,none,cluster,P1,scheduled,
10,Phase 1 Authority Foundation,Technical SEO For Operators,Indexability Audit For Large URL Sets,indexability-audit-for-large-url-sets,technical-seo,technical-seo|crawlability|bulk-url-operations|programmatic-seo,Programmatic SEO Builder,SEO Operator,middle,informational-commercial,indexability audit large URL sets,bulk indexability audit|large site indexing audit|programmatic SEO indexability,Audit and tier large URL sets,indexing-education-hub|technical-seo-indexing-audit|bulk-url-operations-workflow,Large URL inventory audit board with passed blocked duplicate and improve queues,1,yes,none,cluster,P1,published,
11,Phase 1 Authority Foundation,Technical SEO For Operators,Canonical Audit Workflow For SEO Teams,canonical-audit-workflow-for-seo-teams,technical-seo,canonical-tags|technical-seo|seo-operators|checklist,SEO Operator,SEO Agency,middle,informational,canonical audit workflow,canonical audit|wrong canonical fixes|canonical SEO workflow,Audit canonical patterns,canonical-tags-and-indexing|google-found-wrong-canonical-fixes|technical-seo-indexing-audit,Canonical mapping board with user canonical selected canonical and fix queues,2,yes,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
